1940 01 31 11,10,NaN,70000,0,2880,1,-60,1,NaN,NaN,NaN,NaN,NaN
1940 01 31 11,20,NaN,60000,0,4069,1,-135,1,NaN,NaN,NaN,NaN,NaN
1940 01 31 11,10,NaN,50000,0,5429,1,-208,1,NaN,NaN,NaN,NaN,NaN
1940 01 31 11,10,NaN,40000,0,7037,1,-322,1,NaN,NaN,NaN,NaN,NaN
1940 01 31 11,10,NaN,30000,0,9016,1,-438,1,NaN,NaN,NaN,NaN,NaN
1940 01 31 11,10,NaN,20000,0,11662,1,-508,1,NaN,NaN,NaN,NaN,NaN
1940 01 31 11,10,NaN,10000,0,16205,1,-490,1,NaN,NaN,NaN,NaN,NaN
1940 02 01 11,20,NaN,90000,0,831,1,17,0,NaN,NaN,NaN,NaN,NaN
1940 02 01 11,20,NaN,80000,0,1780,1,8,0,NaN,NaN,NaN,NaN,NaN
1940 02 01 11,10,NaN,70000,0,2845,1,-31,1,NaN,NaN,NaN,NaN,NaN
1940 02 01 11,20,NaN,60000,0,4053,1,-94,1,NaN,NaN,NaN,NaN,NaN
1940 02 01 11,10,NaN,50000,0,5435,1,-142,1,NaN,NaN,NaN,NaN,NaN
1940 02 01 11,10,NaN,40000,0,7053,1,-313,1,NaN,NaN,NaN,NaN,NaN
1940 02 01 11,10,NaN,30000,0,9023,1,-472,1,NaN,NaN,NaN,NaN,NaN
1940 02 01 11,10,NaN,20000,0,11656,1,-487,1,NaN,NaN,NaN,NaN,NaN
1940 02 02 11,20,NaN,90000,0,924,1,20,0,NaN,NaN,NaN,NaN,NaN
1940 02 02 11,20,NaN,80000,0,1866,1,2,0,NaN,NaN,NaN,NaN,NaN
1940 02 02 11,10,NaN,70000,0,2930,1,-38,1,NaN,NaN,NaN,NaN,NaN
1940 02 02 11,20,NaN,60000,0,4131,1,-110,1,NaN,NaN,NaN,NaN,NaN
1940 02 02 11,10,NaN,50000,0,5502,1,-209,1,NaN,NaN,NaN,NaN,NaN
1940 02 02 11,10,NaN,40000,0,7117,1,-307,1,NaN,NaN,NaN,NaN,NaN
1940 02 02 11,10,NaN,30000,0,9089,1,-473,1,NaN,NaN,NaN,NaN,NaN
1940 02 02 11,10,NaN,20000,0,11687,1,-552,1,NaN,NaN,NaN,NaN,NaN
1940 02 03 11,20,NaN,90000,0,948,1,24,0,NaN,NaN,NaN,NaN,NaN
1940 02 03 11,20,NaN,80000,0,1893,1,-6,0,NaN,NaN,NaN,NaN,NaN
1940 02 03 11,10,NaN,70000,0,2948,1,-76,1,NaN,NaN,NaN,NaN,NaN
1940 02 03 11,20,NaN,60000,0,4130,1,-131,1,NaN,NaN,NaN,NaN,NaN
1940 02 03 11,10,NaN,50000,0,5495,1,-229,1,NaN,NaN,NaN,NaN,NaN
1940 02 03 11,10,NaN,40000,0,7091,1,-335,1,NaN,NaN,NaN,NaN,NaN
1940 02 03 11,10,NaN,30000,0,9070,1,-436,1,NaN,NaN,NaN,NaN,NaN
1940 02 03 11,10,NaN,20000,0,11663,1,-532,1,NaN,NaN,NaN,NaN,NaN
1940 02 03 11,10,NaN,10000,0,16208,1,-502,1,NaN,NaN,NaN,NaN,NaN
1940 02 04 10,20,NaN,90000,0,925,1,51,0,NaN,NaN,NaN,NaN,NaN
1940 02 04 10,20,NaN,80000,0,1883,1,17,0,NaN,NaN,NaN,NaN,NaN
1940 02 04 10,10,NaN,70000,0,2954,1,-38,1,NaN,NaN,NaN,NaN,NaN
1940 02 04 10,20,NaN,60000,0,4150,1,-108,1,NaN,NaN,NaN,NaN,NaN
1940 02 04 10,10,NaN,50000,0,5528,1,-186,1,NaN,NaN,NaN,NaN,NaN
1940 02 04 10,10,NaN,40000,0,7159,1,-290,1,NaN,NaN,NaN,NaN,NaN
1940 02 04 10,10,NaN,30000,0,9161,1,-420,1,NaN,NaN,NaN,NaN,NaN
1940 02 05 11,20,NaN,90000,0,964,1,55,0,NaN,NaN,NaN,NaN,NaN
1940 02 05 11,20,NaN,80000,0,1914,1,-11,0,NaN,NaN,NaN,NaN,NaN
1940 02 05 11,10,NaN,70000,0,2973,1,-43,1,NaN,NaN,NaN,NaN,NaN
1940 02 05 11,20,NaN,60000,0,4171,1,-119,1,NaN,NaN,NaN,NaN,NaN
1940 02 05 11,10,NaN,50000,0,5539,1,-214,1,NaN,NaN,NaN,NaN,NaN
1940 02 05 11,10,NaN,40000,0,7146,1,-330,1,NaN,NaN,NaN,NaN,NaN
1940 02 05 11,10,NaN,30000,0,9109,1,-470,1,NaN,NaN,NaN,NaN,NaN
1940 02 05 11,10,NaN,20000,0,11694,1,-563,1,NaN,NaN,NaN,NaN,NaN
1940 02 05 11,10,NaN,10000,0,16176,1,-508,1,NaN,NaN,NaN,NaN,NaN
1940 02 05 11,10,NaN,5000,0,20662,1,-530,1,NaN,NaN,NaN,NaN,NaN
1940 02 06 11,20,NaN,90000,0,1025,1,22,0,NaN,NaN,NaN,NaN,NaN
1940 02 06 11,20,NaN,80000,0,1967,1,-26,0,NaN,NaN,NaN,NaN,NaN
1940 02 06 11,20,NaN,60000,0,4195,1,-150,1,NaN,NaN,NaN,NaN,NaN
1940 02 06 11,10,NaN,50000,0,5548,1,-239,1,NaN,NaN,NaN,NaN,NaN
1940 02 06 11,10,NaN,40000,0,7136,1,-350,1,NaN,NaN,NaN,NaN,NaN
1940 02 06 11,10,NaN,30000,0,9111,1,-411,1,NaN,NaN,NaN,NaN,NaN
1940 02 06 11,10,NaN,20000,0,11771,1,-520,1,NaN,NaN,NaN,NaN,NaN
1940 02 06 11,10,NaN,10000,0,16245,1,-530,1,NaN,NaN,NaN,NaN,NaN
1940 02 07 10,20,NaN,90000,0,1015,1,54,0,NaN,NaN,NaN,NaN,NaN
1940 02 07 10,20,NaN,80000,0,1968,1,1,0,NaN,NaN,NaN,NaN,NaN
1940 02 07 10,10,NaN,70000,0,3026,1,-60,1,NaN,NaN,NaN,NaN,NaN
1940 02 07 10,20,NaN,60000,0,4221,1,-106,1,NaN,NaN,NaN,NaN,NaN
1940 02 07 10,10,NaN,50000,0,5601,1,-182,1,NaN,NaN,NaN,NaN,NaN
1940 02 07 10,10,NaN,40000,0,7225,1,-308,1,NaN,NaN,NaN,NaN,NaN
1940 02 07 10,10,NaN,30000,0,9204,1,-447,1,NaN,NaN,NaN,NaN,NaN
1940 02 07 10,10,NaN,20000,0,11820,1,-592,1,NaN,NaN,NaN,NaN,NaN
1940 02 07 10,10,NaN,10000,0,16183,1,-560,1,NaN,NaN,NaN,NaN,NaN
1940 02 08 11,20,NaN,90000,0,989,1,33,0,NaN,NaN,NaN,NaN,NaN
1940 02 08 11,20,NaN,80000,0,1929,1,-43,0,NaN,NaN,NaN,NaN,NaN
1940 02 08 11,10,NaN,70000,0,2970,1,-98,1,NaN,NaN,NaN,NaN,NaN
1940 02 08 11,20,NaN,60000,0,4139,1,-179,1,NaN,NaN,NaN,NaN,NaN
1940 02 08 11,10,NaN,50000,0,5487,1,-246,1,NaN,NaN,NaN,NaN,NaN
1940 02 08 11,10,NaN,40000,0,7075,1,-361,1,NaN,NaN,NaN,NaN,NaN
1940 02 08 11,10,NaN,30000,0,9020,1,-485,1,NaN,NaN,NaN,NaN,NaN
1940 02 08 11,10,NaN,20000,0,11602,1,-559,1,NaN,NaN,NaN,NaN,NaN
1940 02 08 11,10,NaN,10000,0,16037,1,-570,1,NaN,NaN,NaN,NaN,NaN
1940 02 08 11,10,NaN,5000,0,20399,1,-580,1,NaN,NaN,NaN,NaN,NaN
1940 02 09 10,20,NaN,90000,0,937,1,36,0,NaN,NaN,NaN,NaN,NaN
1940 02 09 10,20,NaN,80000,0,1888,1,-3,0,NaN,NaN,NaN,NaN,NaN
1940 02 09 10,10,NaN,70000,0,2945,1,-59,1,NaN,NaN,NaN,NaN,NaN
1940 02 09 10,20,NaN,60000,0,4138,1,-118,1,NaN,NaN,NaN,NaN,NaN
1940 02 09 10,10,NaN,50000,0,5514,1,-192,1,NaN,NaN,NaN,NaN,NaN
1940 02 09 10,10,NaN,40000,0,7138,1,-301,1,NaN,NaN,NaN,NaN,NaN
1940 02 09 10,10,NaN,30000,0,9133,1,-442,1,NaN,NaN,NaN,NaN,NaN
1940 02 09 10,10,NaN,20000,0,11750,1,-572,1,NaN,NaN,NaN,NaN,NaN
1940 02 09 10,10,NaN,10000,0,16123,1,-578,1,NaN,NaN,NaN,NaN,NaN
1940 02 10 10,20,NaN,90000,0,941,1,-60,0,NaN,NaN,NaN,NaN,NaN
1940 02 10 10,20,NaN,80000,0,1865,1,-65,0,NaN,NaN,NaN,NaN,NaN
1940 02 10 10,10,NaN,70000,0,2898,1,-120,1,NaN,NaN,NaN,NaN,NaN
1940 02 10 10,20,NaN,60000,0,4059,1,-167,1,NaN,NaN,NaN,NaN,NaN
1940 02 10 10,10,NaN,40000,0,7002,1,-344,1,NaN,NaN,NaN,NaN,NaN
1940 02 10 10,10,NaN,30000,0,8964,1,-457,1,NaN,NaN,NaN,NaN,NaN
1940 02 10 10,10,NaN,20000,0,11586,1,-530,1,NaN,NaN,NaN,NaN,NaN
1940 02 10 10,10,NaN,10000,0,16070,1,-530,1,NaN,NaN,NaN,NaN,NaN
1940 02 11 10,20,NaN,90000,0,978,1,-53,0,NaN,NaN,NaN,NaN,NaN
1940 02 11 10,20,NaN,80000,0,1890,1,-59,0,NaN,NaN,NaN,NaN,NaN
1940 02 11 10,10,NaN,70000,0,2940,1,-94,1,NaN,NaN,NaN,NaN,NaN
1940 02 11 10,20,NaN,60000,0,4143,1,-166,1,NaN,NaN,NaN,NaN,NaN
1940 02 11 10,10,NaN,50000,0,5458,1,-260,1,NaN,NaN,NaN,NaN,NaN
1940 02 11 10,10,NaN,40000,0,7043,1,-360,1,NaN,NaN,NaN,NaN,NaN
1940 02 11 10,10,NaN,30000,0,8984,1,-494,1,NaN,NaN,NaN,NaN,NaN
1940 02 11 10,10,NaN,20000,0,11558,1,-604,1,NaN,NaN,NaN,NaN,NaN
